% Model:              oppgave4.mph
% Version:            COMSOL 6.2.0.278
% Date:               Apr 18 2024, 11:52
% Dimension:          1
% Nodes:              669
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, z-component
434.78160235573387        0.002288206879826605
435.4305063080051         0.002299942556809034
436.29411894967706        0.0023155613228300013
436.73184628018146        0.002323477789572422
437.33498298788277        0.002334385748374422
437.6006321505881         0.0023391901154201948
438.08216533467686        0.0023478988278344236
439.1199503406056         0.002366667567898587
443.6058641401376         0.002446788577281563
443.6058641401376         0.0024477970403545173
445.58056112591976        0.0024863346789204
447.3990742821418         0.0025227529783482653
447.8358197649724         0.002531499424703671
449.3001633081492         0.002560824976426081
450.3000398616869         0.0025808489193890703
453.7620518614668         0.0026501806089616557
454.7578221406149         0.002670122317968987
456.3855876011295         0.0027027206248531176
456.3855876011295         0.0027038585049521
457.00951074859375        0.0027171858311902763
462.19895118723406        0.002828035005484282
462.5512475963411         0.002835560241878841
463.6315086565648         0.0028586351856928495
463.8719148914518         0.00286377038917913
464.07305426134553        0.0028680668317984
464.6242653416407         0.002879840990079025
465.11562714168383        0.0028903367362887395
470.7343190343099         0.0030103549471679845
471.7605209215618         0.0030322751586447
472.02008229629797        0.003037819525982244
475.3960059732353         0.0031144828485625926
475.3960059732353         0.0031099310294271402
478.3560133392685         0.003180742966424817
480.06008042597466        0.0032213912787991883
486.22172759298707        0.003364662281994183
487.3985975200894         0.0033920269347429933
489.24820824632565        0.003435034198399178
490.92215018650427        0.0034739568005149753
491.87146933276006        0.0034960304283533947
499.22927968543604        0.003667114692345344
500.9013288130923         0.003705993282666634
503.4882870337402         0.0037661453961274688
505.37665917695574        0.0038100539426623014
508.31597393673576        0.003878399072288363
511.5640626103061         0.003953923832164278
514.404060106095          0.0040199596305902745
516.0544238809762         0.004058333991739963
523.9723133359334         0.004242441249856277
526.5948101515477         0.004303419708937845
527.9067913990978         0.004333925978513918
528.6205607282119         0.0043505225873524565
529.7757694925388         0.0043773835733970385
530.4102202804843         0.004384259049515125
531.6298025688253         0.004389169780070555
540.3549367284065         0.004576638520226909
540.8552872610851         0.004588136065151434
542.4501088630054         0.004620392800984176
542.4501088630054         0.004615172603802502
544.8414380574802         0.0046587783784114555
544.8414380574802         0.004653560654369311
550.775277490518          0.004734300285384385
552.2656866479592         0.004754579749766805
553.579856747283          0.004772461192314725
553.9155718529489         0.004777029147693959
554.3569906928108         0.004783035375981013
555.380788760795          0.0047967204102888975
556.2797124111432         0.004830554767656509
561.2260645171438         0.004902476683210894
564.2913040338078         0.004933174179671192
565.479298380048          0.004945071603034131
566.6532520527464         0.004956828413070115
568.7916407797793         0.004978243764145281
575.1616468147977         0.005042037551433025
577.6971297153727         0.0050674296870042955
584.4908737069007         0.005135467088648872
585.4085440843809         0.005144657294833828
586.0319895957875         0.005150900923194858
587.2113152787615         0.005162711532376235
589.8208631779928         0.00518884540771098
589.9149610506977         0.005189787770974461
596.9023323767774         0.005231308497860694
597.0690661691834         0.0052034887226760935
597.822376660171          0.005206362297201323
600.1902638324627         0.005214855372438354
600.1902638324627         0.005215394828061201
603.2979125519548         0.005200399192420715
603.4362942250173         0.005199755467676542
604.2538241605031         0.005195952476739033
608.2203004809157         0.005177501197041966
609.8678974949024         0.005169836894805576
610.2350834828762         0.005184805162333486
614.4300081503268         0.005210926889845485
614.4300081503268         0.005167649445109113
616.0347839005157         0.0051928375187671304
620.2969160617633         0.005144793865165856
623.2608556511054         0.005111383712327295
623.4882442923932         0.0051088205395532936
623.9439847540337         0.00510368333684752
627.0810014184577         0.005068322222676227
627.9984955303415         0.005057980035333156
628.1289190913836         0.005056509873416282
631.8531856075517         0.005014529154927907
632.5464804344599         0.005006714189261102
635.3439345013278         0.004975180696382569
635.960922121004          0.004968225881666707
639.7623864610697         0.00492645553613897
639.7623864610697         0.004925374973008295
640.9847231192705         0.004904989705371014
642.6540289353038         0.00487567451147044
644.383878319156          0.004845296093316411
644.3874186266764         0.00484523392088495
644.3874186266767         0.0048663435231517385
645.8309370080051         0.004838818241667807
646.0855200888665         0.004833963803336855
650.5824951211152         0.004748214632983435
653.4670947109181         0.004693210542488468
653.5934508914097         0.004690801158943194
654.3381136252017         0.004676601789109509
655.1871853380759         0.0046604115291175325
661.3559647748144         0.004542784076218583
662.5467707951594         0.004520077561825199
663.6493212992019         0.004499053920306977
664.2888505872852         0.0044799453680842375
664.2888505872852         0.0044868592548982095
